"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"626",-3.51006051006051,-3.51078051078051,-3.50975750975751,-3.50976350976351,-3.51037251037251,-3.51031251031251,-3.50946950946951,-3.51194751194751,-3.50985650985651,-3.50989250989251
"627",-3.50991950991951,-3.51069051069051,-3.50962250962251,-3.50953850953851,-3.51032751032751,-3.51005151005151,-3.50923550923551,-3.51182151182151,-3.50966750966751,-3.50986550986551
"628",-3.51025551025551,-3.51095151095151,-3.51003651003651,-3.50980550980551,-3.51057351057351,-3.51004851004851,-3.50955950955951,-3.51217251217251,-3.51030051030051,-3.51003951003951
"629",-3.51069651069651,-3.51123951123951,-3.51068151068151,-3.51024651024651,-3.51107151107151,-3.51045651045651,-3.50994950994951,-3.51237651237651,-3.51062751062751,-3.51054651054651
"630",-3.51089151089151,-3.51153051153051,-3.51093951093951,-3.51048351048351,-3.51124251124251,-3.51062451062451,-3.51003351003351,-3.51248751248751,-3.51065751065751,-3.51068151068151
"631",-3.51087951087951,-3.51152451152451,-3.51110151110151,-3.51035151035151,-3.51137151137151,-3.51070251070251,-3.50995250995251,-3.51236151236151,-3.51080451080451,-3.51070251070251
"632",-3.51084951084951,-3.51147051147051,-3.51111351111351,-3.51036051036051,-3.51117651117651,-3.51062751062751,-3.50974250974251,-3.51218751218751,-3.51075351075351,-3.51069951069951
"633",-3.51077751077751,-3.51129051129051,-3.51099951099951,-3.51041451041451,-3.51105651105651,-3.51048351048351,-3.50986250986251,-3.51219051219051,-3.51053751053751,-3.51054051054051
"634",-3.51102051102051,-3.51149751149751,-3.51129951129951,-3.51061851061851,-3.51136251136251,-3.51071451071451,-3.51011451011451,-3.51234651234651,-3.51091551091551,-3.51048951048951
"635",-3.51084951084951,-3.51143751143751,-3.51116751116751,-3.51051051051051,-3.51114951114951,-3.51040551040551,-3.51006951006951,-3.51222351222351,-3.51064551064551,-3.51027651027651
"636",-3.51086151086151,-3.51124251124251,-3.51140451140451,-3.51058551058551,-3.51123651123651,-3.51047451047451,-3.50988650988651,-3.51177051177051,-3.51069651069651,-3.51022851022851
"637",-3.51093651093651,-3.51149451149451,-3.51163851163851,-3.51047451047451,-3.51114951114951,-3.51049251049251,-3.50985050985051,-3.51170451170451,-3.51071751071751,-3.51029751029751
"638",-3.51128151128151,-3.51164451164451,-3.51214851214851,-3.51081051081051,-3.51149451149451,-3.51100851100851,-3.51009951009951,-3.51186351186351,-3.51116451116451,-3.51063351063351
"639",-3.51131151131151,-3.51162651162651,-3.51205551205551,-3.51085551085551,-3.51164151164151,-3.51090051090051,-3.51011451011451,-3.51197451197451,-3.51129951129951,-3.51070251070251
"640",-3.51157251157251,-3.51188451188451,-3.51233151233151,-3.51102351102351,-3.51179751179751,-3.51136551136551,-3.51045351045351,-3.51213651213651,-3.51167451167451,-3.51091251091251
"641",-3.51163251163251,-3.51196551196551,-3.51240651240651,-3.51115251115251,-3.51189651189651,-3.51128751128751,-3.51042651042651,-3.51226251226251,-3.51179151179151,-3.51093051093051
"642",-3.51159651159651,-3.51185151185151,-3.51245451245451,-3.51126051126051,-3.51182751182751,-3.51136551136551,-3.51044151044151,-3.51206451206451,-3.51159951159951,-3.51081351081351
"643",-3.51175851175851,-3.51196851196851,-3.51269751269751,-3.51136251136251,-3.51201651201651,-3.51162951162951,-3.51067551067551,-3.51201651201651,-3.51175251175251,-3.51084051084051
"644",-3.51178251178251,-3.51196251196251,-3.51289251289251,-3.51137151137151,-3.51201951201951,-3.51164451164451,-3.51061551061551,-3.51178551178551,-3.51174951174951,-3.51087951087951
"645",-3.51157251157251,-3.51195051195051,-3.51257751257751,-3.51105651105651,-3.51161151161151,-3.51120951120951,-3.51041451041451,-3.51203451203451,-3.51159651159651,-3.51075651075651
"646",-3.51168651168651,-3.51194751194751,-3.51270351270351,-3.51104151104151,-3.51173451173451,-3.51158751158751,-3.51060051060051,-3.51202551202551,-3.51185451185451,-3.51079851079851
